Date,Route,Rating,Notes,Pitches,URL,Lat and long
2024-11-26,Alligator Skin,5.10b,,1,https://www.mountainproject.com/route/108669224/alligator-skin,"36.74132, -114.79758"
2024-11-26,Snake Oil,5.10b,,1,https://www.mountainproject.com/route/108669229/snake-oil,"36.74132, -114.79758"
2024-11-26,The Gantry,5.10c,,1,https://www.mountainproject.com/route/108669236/the-gantry,"36.74132, -114.79758"
2024-11-25,Middle Child,5.10d,,1,https://www.mountainproject.com/route/122638908/middle-child,"36.14778, -115.42868"
2024-11-25,Green Eagle,5.12a,,1,https://www.mountainproject.com/route/116759913/green-eagle,"36.14778, -115.42868"
2024-11-25,Hodad,5.12a,,1,https://www.mountainproject.com/route/116759877/hodad,"36.14749, -115.42804"
2024-11-24,Intergalactic Slacks,5.8,,1,https://www.mountainproject.com/route/122638622/intergalactic-slacks,"36.14778, -115.42868"
2024-11-24,Lacertine,5.9,,1,https://www.mountainproject.com/route/122638309/lacertine,"36.14778, -115.42868"
2024-11-11,Monkeyfinger,5.12,"No nuts used. P2 .4 before the traverse right.    P3 .3 bd, black and blue totem, red c3 near the top, chimney is easy but can take a .4 or 2. ",9,https://www.mountainproject.com/route/105717820/monkeyfinger,"37.28494, -112.94922"
2024-11-08,Heroes Get Remembered,5.9,Lead in 3 with a 70,5,https://www.mountainproject.com/route/119396630/heroes-get-remembered,"37.19133, -113.64333"
2024-11-08,Harbingers,5.10c/d,"With TK, fun. 70m link works ",2,https://www.mountainproject.com/route/106405783/harbingers,"37.2939, -113.6932"
2024-11-08,Dark Prophet,5.12a,"With TK, so fun. Hard move before the first anchor.  Everything else goes easy. ",1,https://www.mountainproject.com/route/117991310/dark-prophet,"37.2939, -113.6932"
